R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,
175875736,145268816,146886691,147893142,162114166,157080571,148869605,147643836,143669856,162804749,149706829,167500349,149323564,144685111,147921758,144188199,153504890,142729900,144833294,157521710,
165529645,166031275,161647255,178304092,172404866,235249570,171341123,166994011,154362037,154799700,153553159,156644453,155630999,159180466,153890375,153598692,152784474,168708345,175470507,157801466,
168993916,162967712,173434129,176186230,181856083,158677345,163447339,152157308,157676593,152336278,152629824,155091286,151429695,155653208,161429105,167207951,165638502,168660878,171933337,159011137,
157136098,163865164,161636182,172765105,164935306,171486429,186244293,157920002,165617365,152077074,154959872,162263896,182293429,162386303,151859600,157745900,178339607,172232432,149996740,150532524,
167584163,207251618,207959425,163708800,159655661,161025177,160386835,171629244,165033811,159001009,161271361,161840907,167891056,167119262,170866397,162771078,168957080,184549579,173744066,165160813,
187419222,173867429,166089951,166988913,163802737,160170317,162644705,160667033,165811429,186122981,170097820,161960333,174158201,160413838,161020489,164116489,160315774,162537251,170026584,168222745,
176019300,177903339,166015690,161657520,164158790,168740704,163284906,162803727,165269083,163005715,161822100,176679640,177225894,207858678,177974885,167512349,170321027,166551598,170201968,173639567,
214597185,204412799,199519921,201803580,204930556,201785085,200755860,220163990,174895758,188479666,177277009,173821874,186227433,174446744,170403141,187088108,175595423,179960590,173281338,179867280,
201109765,188085056,179863126,178315633,174749059,179895721,182746508,176001751,180934304,194318200,195135583,209072292,187855041,181145504,184537336,188971936,207818772,208737295,206949014,199196870,
201021873,215430398,207997019,208369218,203451617,188486781,186911469,201585512,207205675,198536235,227361053,202949492,208761790,202328090,185533332,180212739,180015467,174294002,180102314,176908851,
185887302,183256247,181964014,181627611,183422059,183843644,177215348,183000822,190153625,188033544,187354787,192772043,201878620,182243445,181974454,191064703,189783529,187160918,202090867,191019926,
190372251,183537377,187883589,215989836,186070025,190506133,191223841,184989004,198304128,194971231,190637978,190690474,193769287,189636698,188222272,190992330,190583829,191076436,226753511,184007817,
192386643,190073305,224350378,230091580,231774296,196358654,184857752,185898614,189066880,197867929,184294523,182302265,181487556,183051492,182586179,182543481,183912116,183791843,183896730,189054370,
196899348,195068242,203076438,195810434,196012036,188491786,189691456,198750026,202878001,194628757,194020582,193109574,202188308,198581655,194290779,190423494,190286729,191758418,189260091,212022954,
